#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	fraction repetitive (0 is good)	3' breakpoint	5' breakpoint
MALAT1--IGKC	15	0.999	0.52	0.193	3'-IGKC-chr2-88857168	5'-MALAT1-chr11-65499053
B2M--MALAT1	12	0.999	0.629	0.133	3'-MALAT1-chr11-65499044	5'-B2M-chr15-44718142
chr9-80230000--chr9-80550000	13	0.982	0.521	0.176	chr9-80230000-chr9-80232302	chr9-80550000-chr9-80600219
FTL--IGKC	9	0.978	0.553	0.195	3'-IGKC-chr2-88857167	5'-FTL-chr19-48965312
CD74--MALAT1	9	1.0	0.469	0.157	3'-MALAT1-chr11-65499046	5'-CD74-chr5-150401645
MALAT1--H3-3B	6	0.994	0.608	0.0	3'-H3-3B-chr17-75779780	5'-MALAT1-chr11-65499044
B2M--MT-CO1	4	1.25	0.637	0.128	3'-MT-CO1-chrM-7512	5'-B2M-chr15-44718138
TRBV5-1--TRBJ2-5	5	1.0	0.57	0.026	3'-TRBJ2-5-chr7-142797124	5'-TRBV5-1-chr7-142321541
MT-ND2--MALAT1	6	0.906	0.496	0.0	3'-MALAT1-chr11-65499045	5'-MT-ND2-chrM-5508
MALAT1--FOXP1	5	1.1	0.505	0.028	3'-FOXP1-chr3-70957159	5'-MALAT1-chr11-65499050
MT-RNR2--MALAT1	9	1.006	0.458	0.0	3'-MALAT1-chr11-65499048	5'-MT-RNR2-chrM-2031
TMSB10--MALAT1	4	1.0	0.719	0.0	3'-MALAT1-chr11-65499044	5'-TMSB10-chr2-84906668
MT-ND4--MALAT1	5	1.087	0.545	0.0	3'-MALAT1-chr11-65499046	5'-MT-ND4-chrM-12121
FTL--IGHM	7	0.985	0.493	0.175	3'-IGHM-chr14-105854219	5'-FTL-chr19-48966872
B2M--HNRNPH1	3	1.144	0.758	0.184	3'-HNRNPH1-chr5-179614790	5'-B2M-chr15-44718145
FTL--CD74	5	0.933	0.54	0.141	3'-CD74-chr5-150412750	5'-FTL-chr19-48966876
MT-CO2--MALAT1	5	0.902	0.46	0.0	3'-MALAT1-chr11-65499051	5'-MT-CO2-chrM-8273
MROH9--FMO2	5	0.903	0.655	0.307	3'-FMO2-chr1-171168103	5'-MROH9-chr1-170967099
MALAT1--IGHM	3	1.167	0.667	0.119	3'-IGHM-chr14-105851704	5'-MALAT1-chr11-65499044
