#name	spanning reads	confirmed reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	fraction repetitive (0 is good)	3' breakpoint	5' breakpoint
chr9-80230000--chr9-80550000	13	6	0.9009803921568628	0.521	0.176	chr9-80230000-chr9-80232302	chr9-80550000-chr9-80600219
FTL--IGKC	9	1	0.0763157894736842	0.553	0.195	3'-IGKC-chr2-88857167	5'-FTL-chr19-48965312
MALAT1--FOXP1	5	1	0.27460317460317457	0.505	0.028	3'-FOXP1-chr3-70957159	5'-MALAT1-chr11-65499050
MT-ND4--MALAT1	5	2	0.1717948717948718	0.545	0.0	3'-MALAT1-chr11-65499046	5'-MT-ND4-chrM-12121
FTL--IGHM	7	1	0.03106060606060606	0.493	0.175	3'-IGHM-chr14-105854219	5'-FTL-chr19-48966872
B2M--HNRNPH1	3	3	0.07816091954022988	0.758	0.184	3'-HNRNPH1-chr5-179614790	5'-B2M-chr15-44718145
FTL--CD74	5	1	0.0035714285714285713	0.54	0.141	3'-CD74-chr5-150412750	5'-FTL-chr19-48966876
MT-CO2--MALAT1	5	3	0.06418439716312056	0.46	0.0	3'-MALAT1-chr11-65499051	5'-MT-CO2-chrM-8273
MROH9--FMO2	5	3	0.30909090909090914	0.655	0.307	3'-FMO2-chr1-171168103	5'-MROH9-chr1-170967099
MALAT1--TSPYL1	3	1	0.15833333333333333	0.658	0.0	3'-TSPYL1-chr6-116277914	5'-MALAT1-chr11-65499048
FTL--AL645941.2	4	3	0.0	0.619	0.143	3'-AL645941.2-chr6-32948617	5'-FTL-chr19-48966878
SNORD28B--chr6-155880000	7	3	0.3137254901960784	0.568	0.469	SNORD28B-chr6-156252319	chr6-155880000-chr6-155903351
CD74--APOBEC3C	5	1	0.0008771929824561403	0.545	0.359	3'-APOBEC3C-chr22-39020347	5'-CD74-chr5-150401638
RPS14--MALAT1	5	1	0.0014767932489451476	0.525	0.137	3'-MALAT1-chr11-65499699	5'-RPS14-chr5-150444237
B2M--HLA-A	3	2	0.06896551724137931	0.675	0.123	3'-HLA-A-chr6-29945764	5'-B2M-chr15-44718142
SNORD28B--chr6-155810000	5	3	0.24333333333333332	0.625	0.435	SNORD28B-chr6-156252319	chr6-155810000-chr6-155832891
FTL--SET	3	2	0.25416666666666665	0.717	0.011	3'-SET-chr9-128695527	5'-FTL-chr19-48966879
SET--IGKC	4	1	0.02043010752688172	0.619	0.257	3'-IGKC-chr2-88857165	5'-SET-chr9-128694754
RPS6--MT-RNR2	3	2	0.8095238095238095	0.717	0.018	3'-MT-RNR2-chrM-3234	5'-RPS6-chr9-19376260
MALAT1--PRKCE	3	1	0.19326241134751773	0.608	0.105	3'-PRKCE-chr2-45653392	5'-MALAT1-chr11-65499688
ID3--CD74	3	2	0.09916666666666667	0.692	0.173	3'-CD74-chr5-150412751	5'-ID3-chr1-23557935
MALAT1--MT-ND5	6	1	0.587037037037037	0.471	0.0	3'-MT-ND5-chrM-13726	5'-MALAT1-chr11-65499073
CD74--MARCHF6	3	2	0.7107526881720431	0.542	0.149	3'-MARCHF6-chr5-10435724	5'-CD74-chr5-150401681
CD74--IGLL5	3	1	0.11212121212121212	0.6	0.237	3'-IGLL5-chr22-22895834	5'-CD74-chr5-150401641
HLA-DMB--MALAT1	3	1	0.03270042194092827	0.625	0.253	3'-MALAT1-chr11-65499698	5'-HLA-DMB-chr6-32934640
MT-CO1--HLA-DRA	3	2	0.48166666666666663	0.592	0.016	3'-HLA-DRA-chr6-32439887	5'-MT-CO1-chrM-7503
CD74--MT-RNR2	3	2	0.09652777777777778	0.658	0.115	3'-MT-RNR2-chrM-1766	5'-CD74-chr5-150401642
LINC02161--chr5-89680000	6	1	0.8023809523809524	0.479	0.282	LINC02161-chr5-89581208	chr5-89680000-chr5-89794581
SNORD28B--AL589693.1	5	2	0.7355555555555555	0.47	0.599	3'-AL589693.1-chr6-155912266	5'-SNORD28B-chr6-156392718
JTB--IGKC	3	1	0.1	0.7	0.373	3'-IGKC-chr2-88857166	5'-JTB-chr1-153974511
ACTG1--ACTB	3	1	0.6444444444444444	0.525	0.0	3'-ACTB-chr7-5527301	5'-ACTG1-chr17-81509982
MALAT1--CCR7	3	1	0.05864197530864198	0.575	0.021	3'-CCR7-chr17-40553791	5'-MALAT1-chr11-65499781
CLNK--IGKC	4	1	0.05555555555555556	0.606	0.445	3'-IGKC-chr2-88857165	5'-CLNK-chr4-10537729
ATP5F1A--IGKC	3	1	0.2380952380952381	0.633	0.483	3'-IGKC-chr2-88857172	5'-ATP5F1A-chr18-46084153
IGHA1--IGHA2	6	1	0.7222222222222222	0.496	0.333	3'-IGHA2-chr14-105583727	5'-IGHA1-chr14-105707124
FMO2--BX284613.2	4	1	0.08333333333333333	0.556	0.546	3'-BX284613.2-chr1-170853814	5'-FMO2-chr1-171168105
LINC01362--chr7-76940000	5	2	0.6	0.575	0.792	LINC01362-chr1-83232105	chr7-76940000-chr7-76936374
