#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	fraction repetitive (0 is good)	3' breakpoint	5' breakpoint
chr9-80230000--chr9-80550000	13/3	0.982	0.521	0.176	chr9-80230000-chr9-80232302	chr9-80550000-chr9-80600219
CD74--MALAT1	4/3	1.0	0.469	0.157	3'-MALAT1-chr11-65499046	5'-CD74-chr5-150401645
FTL--IGHM	6/3	0.985	0.493	0.175	3'-IGHM-chr14-105854219	5'-FTL-chr19-48966872
FTL--CD74	6/3	0.933	0.54	0.141	3'-CD74-chr5-150412750	5'-FTL-chr19-48966876
MROH9--FMO2	7/2	0.903	0.655	0.307	3'-FMO2-chr1-171168103	5'-MROH9-chr1-170967099
CD74--APOBEC3C	4/2	1.0	0.545	0.359	3'-APOBEC3C-chr22-39020347	5'-CD74-chr5-150401638
HLA-DRB1--SRSF6	3/2	0.953	0.708	0.126	3'-SRSF6-chr20-43461366	5'-HLA-DRB1-chr6-32578776
CD74--FOXP1	7/2	1.0	0.667	0.21	3'-FOXP1-chr3-70958741	5'-CD74-chr5-150401638
RPS6--MT-RNR2	8/2	0.964	0.717	0.018	3'-MT-RNR2-chrM-3234	5'-RPS6-chr9-19376260
MALAT1--MT-ND5	6/3	1.0	0.471	0.0	3'-MT-ND5-chrM-13726	5'-MALAT1-chr11-65499073
CD74--IGLL5	3/3	1.0	0.6	0.237	3'-IGLL5-chr22-22895834	5'-CD74-chr5-150401641
HLA-DMB--MALAT1	2/2	1.0	0.625	0.253	3'-MALAT1-chr11-65499698	5'-HLA-DMB-chr6-32934640
LINC02161--chr5-89680000	5/2	0.968	0.479	0.282	LINC02161-chr5-89581208	chr5-89680000-chr5-89794581
SNORD28B--AL589693.1	5/5	1.178	0.47	0.599	3'-AL589693.1-chr6-155912266	5'-SNORD28B-chr6-156392718
ACTG1--ACTB	3/3	0.994	0.525	0.0	3'-ACTB-chr7-5527301	5'-ACTG1-chr17-81509982
MALAT1--CCR7	44/2	1.0	0.575	0.021	3'-CCR7-chr17-40553791	5'-MALAT1-chr11-65499781
CD74--B2M	4/3	1.0	0.575	0.372	3'-B2M-chr15-44711518	5'-CD74-chr5-150401641
IGHA1--IGHA2	6/5	0.935	0.496	0.333	3'-IGHA2-chr14-105583727	5'-IGHA1-chr14-105707124
